t_phase,flux,flux_err
-0.5285185154475295,-0.013396978,0.0014256558
-0.5283224970509863,-0.0015746355,0.0014132399
-0.5282924527481322,-0.0019440055,0.0014157204
-0.5282051388625474,-0.0033050776,0.0014534119
-0.5281718152555699,-0.0012704134,0.0014175574
-0.5280881904007286,-0.0030312538,0.0014242933
-0.528061526066059,0.0018680096,0.0014689467
-0.5280528020152052,-0.004104197,0.0014254221
-0.5279632781117413,-0.0075110197,0.0014245299
-0.5278217994872981,-0.0033050776,0.0014229642
-0.5276589673311016,-0.006232977,0.0014191511
-0.5275793055458137,-0.0023894906,0.0014158085
-0.5274600606416893,-0.0033050776,0.0014269985
-0.527454877623541,-0.0023894906,0.0014154585
-0.527395111353637,-0.0018948317,0.0014838164
-0.5273862852408283,-0.0012241006,0.00141652
-0.527385557221507,-0.002388358,0.0015083344
-0.5273645531148006,-0.0014145374,0.0014280938
-0.5271209073192135,-0.0036253333,0.0014157668
-0.5270029485647271,-0.0035776496,0.0014337956
-0.5268480120479391,-0.0023894906,0.0014291228
-0.5268055178080938,-0.009903729,0.0014128124
-0.5267427038079294,-0.0023894906,0.0014195744
-0.5267101856449177,-0.0023894906,-6.153785e-5
-0.5266885915698595,-0.0023894906,0.0014195
-0.5266801704978061,0.0010077953,0.0014407971
-0.5266318109779046,-0.0033050776,0.0014241169
-0.5265188676381851,-0.013564706,0.0014207248
-0.5262868928484035,-0.0023894906,0.0014183525
-0.5262828722910432,-0.004213631,0.0014106779
-0.5261879593239795,-0.0033050776,0.0014544092
-0.526123857362759,-0.0023894906,0.0014220382
-0.5260350268402995,-0.0023894906,0.0014201555
-0.5259995114846968,-0.0060483217,0.0014621395
-0.525995008121453,-0.00094002485,0.0014305649
-0.5259570852483233,-0.0055698752,0.0014257153
-0.5258076393199573,-0.0005171895,0.0014198094
-0.5256567558132332,-0.010344982,0.0014190683
-0.5255372391312007,-0.004566252,0.0014101434
-0.5254490763568292,-0.00024443865,0.0014256788
-0.5254052397392163,-0.0019911528,0.0014193557
-0.5253767166928027,-0.0007825494,0.0014651372
-0.5253316994406632,-0.0044838786,0.0014183314
-0.5253224057662013,-0.0023894906,0.0014860885
-0.5253054428458971,-0.0010510683,0.0014326164
-0.5251132323830727,-0.0033050776,0.0014247309
-0.5249874674240195,-0.003779292,0.001426789
-0.5248027881762947,-0.0023894906,0.0014238637
-0.5248014421947937,-0.0051624775,0.0014128984
-0.5246915102063932,-0.0038948655,0.0014169965
-0.5246326111428492,-0.00039595366,0.0014218057
-0.5246197806743103,-0.005034864,0.0014288403
-0.5246194504826592,-0.008827746,0.0014242029
-0.5245690549702542,-0.0033050776,0.0014755782
-0.5245204625662454,-0.014541328,0.0014180682
-0.5242737613047882,-0.0033050776,0.0014110875
-0.5241712032336373,-0.0033050776,0.001447403
-0.5240765070355761,-0.004652858,0.0014185621
-0.5239823511660404,-0.0023894906,0.0014242302
-0.5239513986841642,-0.011339068,0.0014174602
-0.5239378927308036,-0.0023894906,0.0014618051
-0.5239376652921882,-0.0023894906,0.0014314514
-0.523793925624507,-0.0033050776,0.0014208625
-0.5236552761285531,-0.01134789,0.0014245063
-0.523496760650524,-0.0023894906,0.0014099538
-0.5234385615428033,-0.002640307,0.0014190394
-0.5233587270749713,-0.0033050776,0.0014580903
-0.5233561403821122,-0.0023894906,0.001414936
-0.5232781582770708,-0.0023894906,-6.153785e-5
-0.5232596225243499,0.00015819073,0.0014802904
-0.5232467652283924,-0.00019294024,0.0014311404
-0.5231060453353497,-0.0046298504,0.0014292131
-0.5229724281435025,-0.0033050776,0.0014229974
-0.5227979511245804,-0.0034819841,0.0014162479
-0.5227584480182893,-0.0023894906,0.0014160362
-0.5226408275113208,-0.0023894906,0.0014178734
-0.5226075502528272,-0.0027795434,0.0014286267
-0.5225770909947367,-0.0023894906,0.0014150062
-0.5225598142990401,0.0016239882,0.0014280984
-0.5225498870630759,-0.0032519698,0.0014863125
-0.5222651290037775,-0.0033050776,0.0014160947
-0.5221548705870259,-0.0048050284,0.0014389637
-0.5220298148925977,-0.0023894906,0.0014228375
-0.5219462368278577,-0.0060919523,0.0014107735
-0.5219301633801989,-0.0023894906,0.0014264039
-0.521880768931443,-0.0023894906,0.0014202938
-0.5218766790165421,-0.001168251,0.0014497818
-0.5217806629935443,-0.0033050776,0.0014193583
-0.521654638740985,-0.013443291,0.0014240524
-0.5214583671998693,-0.00085008144,0.0014148931
-0.5214285116081381,-0.0033050776,0.0014146738
-0.5213411424900295,-0.0033859015,0.0014510457
-0.5213076071538825,-0.003152728,0.0014169845
-0.5212239454773586,-0.0023894906,0.0014264344
-0.5211972213119498,-0.0011698008,0.0014679035
-0.521188529476697,-0.0006747842,0.0014263457
-0.5210993553758462,-0.0052720904,0.0014259941
-0.5209578261249607,-0.0033050776,0.0014188428
-0.5207950722182106,-0.0072149634,0.0014183949
-0.5207151388730139,-0.0023894906,0.001415548
-0.5205961056935642,-0.0033050776,0.0014271198
-0.5205906603209278,-0.0023894906,0.0014163
-0.5205311057689562,0.0003284216,0.0014821594
-0.5205220357136242,-0.002062142,0.0014151294
-0.5205212478646875,-0.0023894906,0.001506551
-0.5205002713719955,-0.00023663044,0.0014277273
-0.5202569753823926,-0.0029847622,0.0014158322
-0.5201389613987535,-0.003032446,0.0014346815
-0.5199838223627115,-0.0023894906,0.0014279749
-0.5199416088870719,-0.008847177,0.0014119087
-0.5198784726949379,-0.0023894906,0.0014180267
-0.5198461309092239,-0.0023894906,-6.153785e-5
-0.5198243282378956,-0.0027939677,0.0014186888
