t_phase,flux,flux_err
-0.4999082575037932,-0.00094264746,0.0011996314
-0.49985389250080314,-0.0011134744,0.0011962227
-0.49984136565668735,-0.0023302436,0.0017166659
-0.49980134298421164,0.0007606745,0.0011972632
-0.49979695139843106,-0.00016850233,0.001203039
-0.49962954474568266,-0.0013376474,0.0011957809
-0.4996220051662661,-0.0015232563,0.0011986764
-0.49950538833754354,-0.002160728,0.0011983304
-0.49949794451507645,-0.0006465912,0.0011968472
-0.4994639735701587,-0.00030726194,0.0011987756
-0.4994537092461264,-0.0015369058,0.0012053739
-0.49942746042530684,-0.00057142973,0.0012028831
-0.4992562623494752,-0.002026379,0.0011965556
-0.49923780181615474,-0.0005903244,0.0011993644
-0.49914578906895146,-0.0030783415,0.0011968155
-0.49913037403337057,-0.0013672113,0.0011979417
-0.4991064748780618,0.001299262,0.0012001018
-0.4990613631341003,-0.002333045,0.0012021795
-0.49903709198366775,-0.0010100603,0.001199641
-0.49885721990472454,-0.00048583746,0.001199856
-0.498800619159836,5.197525e-5,0.0011980407
-0.4987973513767163,-0.003281355,0.0011960776
-0.4987113516908417,-0.0008627176,0.0011996733
-0.49862540604186023,-0.000351727,0.0011995614
-0.4985238977671682,0.0005760193,0.001197918
-0.49848029342437394,3.4332275e-5,0.0011996711
-0.49847470555131057,-0.0017632246,0.0011959664
-0.49845259744514214,-0.0006853938,0.0011974265
-0.49831991339573967,5.9366226e-5,0.0011998551
-0.49821832734928506,-0.00206393,0.0011992148
-0.4981640416650279,-0.0003633499,0.00119697
-0.4981515737424349,-0.0021761656,0.0017236061
-0.49811152387404833,-0.0011968613,0.0011964937
-0.4981070778997654,-2.3424625e-5,0.001201338
-0.4979396633140927,-0.0008648038,0.0011967806
-0.4979321067382001,-0.0021830797,0.0011984907
-0.4978154649806301,-0.0020166636,0.0011976825
-0.4978081004771724,-2.5987625e-5,0.0011962254
-0.49777416125924967,-0.00083595514,0.0011974073
-0.49776375529616446,-0.00317657,0.0012059268
-0.4977375937253423,-0.0002490878,0.0012035863
-0.49756638998309666,0.00021982193,0.0011970343
-0.497547910187343,-0.0003167987,0.0011999782
-0.4974559506969083,-0.002203405,0.0011969968
-0.49741655831984954,-0.0012318492,0.0011987868
-0.49737150096632665,-0.002522409,0.0012011277
-0.4973471470986406,-0.00041645765,0.0012000948
-0.4971980037811945,-0.00062936544,0.0011969307
-0.49711081931376544,-0.0012439489,0.0011971927
-0.4971075198030974,-0.0013367534,0.0011979761
-0.4970214407998734,-0.00039315224,0.0011994186
-0.4969354679544278,3.4332275e-5,0.0012001564
-0.49683404126525543,-0.00023573637,0.0011973385
-0.4967904142598476,-0.00089657307,0.0011998328
-0.4967849113705478,-0.0011850595,0.0011982479
-0.4967627715362777,-0.0018906593,0.0011955989
-0.4966300093040257,-0.0020429492,0.00119878
-0.49652839606166044,0.0016463995,0.0012011589
-0.49647419082786937,-0.0024238825,0.0011955472
-0.4964617806939591,-0.0015794635,0.0017309885
-0.4964217047641615,-0.0010116696,0.0011969695
-0.49641720439999326,-0.0011425614,0.0012015823
-0.49624978188360913,-0.0036715865,0.0011946007
-0.4962422083106872,-0.00025230646,0.0012002832
-0.49612554162482314,-0.002267301,0.0011983284
