t_phase,flux,flux_err
-0.49998304674448835,-0.0025396943,0.0021610663
-0.49992325855164077,-0.00507915,0.002158586
-0.499868050333399,-0.0044552684,0.0021551305
-0.49981728678081105,-0.0054469705,0.0021538613
-0.49977081288751235,-0.0034517646,0.0021544958
-0.49972855157747087,-0.0014343262,0.0021564648
-0.49969049685469447,-0.00041651726,0.002158888
-0.4996567223721602,-0.0048752427,0.0021542634
-0.4996433862302484,-0.0035555959,0.0023519045
-0.4996273994034811,-0.004390776,0.0021553168
-0.4996028422479416,-0.003762424,0.0021558632
-0.49958346368373485,-0.0037362576,0.0021578234
-0.49954617807352164,-0.00475806,0.0021541778
-0.499453531908861,-0.0035039783,0.002150711
-0.4993655299493903,-0.0016816854,0.002154428
-0.4992819521038607,-0.0011742115,0.0021535857
-0.4992026656304024,-0.0019778013,0.0021536176
-0.4991276251411254,-0.00123775,0.0021538208
-0.49905685803970756,-0.0035339594,0.0021514427
-0.4989904765150508,-0.0031184554,0.0021541384
-0.4989287049378508,-0.0036377907,0.00215485
-0.49887193982135203,-0.0033076406,0.002153576
-0.4988205965114576,-0.0032534003,0.0021604677
-0.4987058887200472,0.0002528429,0.0021603056
-0.4986460945316259,-0.0035630465,0.0021589438
-0.4985908811750377,-0.0036315918,0.0021561196
-0.49854011162833956,-0.0035360456,0.0021577054
-0.49849363259669455,-0.0028725266,0.0021555366
-0.4984513661485157,-0.0067462325,0.002155873
-0.4984133062873929,0.0002528429,0.0021583987
-0.4983795258092849,-0.0023106933,0.0021578004
-0.4983662753073159,-0.003986299,0.0023549695
-0.4983501968467047,-0.0031878352,0.0021590854
-0.4983256336962185,-0.004416883,0.0021585887
-0.4983062482810924,-0.0044128895,0.0021565678
-0.4982690620114064,-0.0015693307,0.0021560027
-0.4981764098520083,-0.0057649612,0.0021504913
-0.49808840275440036,-0.0017662048,0.0021534534
-0.4980048197707334,-0.0022357106,0.0021546236
-0.49792552730274675,-0.0038124323,0.0021519568
-0.49785048081894145,-0.0055788755,0.002152403
-0.4977797085791771,-0.0039411187,0.002153993
-0.4977133210589466,-0.0013993979,0.0021578101
-0.49765154434423653,-0.0056681037,0.0021540308
-0.497594772375773,-0.0027064085,0.0021548627
-0.4975434222153773,-0.0058345795,0.0021599478
-0.4974287306947698,-0.004618585,0.0021605545
-0.49736893136925664,-0.0056548715,0.0021584057
-0.49731371201751284,-0.003355205,0.0021529538
-0.49726293733309546,0.0030623674,0.0021586525
-0.4972164523054585,-0.0011210442,0.002156462
-0.49717417986233314,0.00019836426,0.0021581424
-0.49713611486370035,-0.0050236583,0.0021542918
-0.4971023292464095,-0.002733171,0.0021562583
-0.4970891643835471,-0.009470046,0.0023531658
-0.49707299429034635,-0.004224837,0.0021568516
-0.49704842514407743,-0.003665626,0.0021577768
-0.4970290328788681,-0.005078256,0.0021589762
