t_phase,flux,flux_err
-0.49989329736757704,0.0037721395,0.0015630095
-0.49980504976375095,0.0033589602,0.0017281239
-0.4997578262510244,-0.00027489662,0.0016230007
-0.4997285744027309,0.0003734827,0.0015723576
-0.49972698700014007,-0.000502944,0.001565016
-0.4995416289023332,-0.0015548468,0.0015616921
-0.4994720347748146,-9.0539455e-5,0.0017918864
-0.49943029007433026,-0.0015670061,0.0015982401
-0.49940937503226035,0.004789591,0.0015661989
-0.4993027940055861,-0.0004619956,0.0015667486
-0.4992250972399691,-0.0016323924,0.0018796882
-0.4991940346862255,0.00012075901,0.001562048
-0.49914183822201386,-0.0030959249,0.0016947201
-0.49910527668811444,-0.0010718703,0.0015763305
-0.4990934415288364,0.0011126995,0.0015650785
-0.49907630106087286,-0.0009111166,0.0015929008
-0.4989477613978468,0.0005289316,0.0015634698
-0.49885950174754257,0.00030064583,0.0017297904
-0.49881231310558105,0.0026925802,0.0016229281
-0.49878306886528,-0.0016478896,0.001571342
-0.4987814928760709,0.0018023252,0.0015657934
-0.4987153618656891,-3.916025e-5,0.00157479
-0.4985960961027289,-0.00053334236,0.0015615701
-0.49852652099565575,-0.0006290674,0.0017906644
-0.4984941915723239,0.0012590885,0.0016329288
-0.49848477946529723,-0.0017969012,0.0016007015
-0.49846387203183895,-0.00048577785,0.0015647957
-0.4983572548654205,-0.0005860925,0.0015659247
-0.4982795504915014,-0.00529629,0.0018800715
-0.4982485063247972,-0.00042796135,0.0015621439
-0.49819632380913936,-2.6166439e-5,0.0016958213
-0.4981597686145629,0.0021363497,0.0015784048
-0.49814794233225634,-0.0017706156,0.0015641154
-0.49813075621448066,-0.00063329935,0.0015934512
-0.49800222479347234,0.0015054941,0.0015628631
-0.4979139537313342,0.00012075901,0.0017278644
-0.49786680059385324,0.0048271418,0.0016252801
-0.49783756332875795,-0.0035681129,0.0015686858
-0.49783599811797663,-0.0019577742,0.0015640472
-0.4977698195553977,-0.00056147575,0.0015749353
-0.4976505626687898,-0.0038629174,0.001561023
-0.4975810072168064,0.0018326044,0.0017904754
-0.4975486448238562,9.846687e-5,0.0016332293
-0.49753926885657374,-0.00039756298,0.0015996658
-0.4975183696654426,-0.00071781874,0.0015652664
-0.49741171572494525,0.0008356571,0.0015665953
-0.49733400374241465,0.0005327463,0.0018807184
-0.4973029779633691,0.00035774708,0.0015622317
-0.49725080939626487,0.0044933558,0.0016973971
-0.497214260541321,9.572506e-5,0.0015755892
-0.49720244313552153,-0.0023496747,0.0015640593
-0.4971852113683981,-0.0011118054,0.0015938217
-0.4970566888237421,-0.0030438304,0.0015615042
-0.49696840508048146,0.0013039112,0.0017282364
-0.49692128744918396,-0.0005953312,0.0016224887
-0.49689205842626094,-5.9723854e-5,0.0015699513
-0.49689050335957274,0.0016379356,0.0015681451
-0.49682427724448697,-0.0021831393,0.0015747368
-0.4967050298682567,0.0011416674,0.0015632452
-0.49663549343764746,0.0021921396,0.0017915536
-0.49660309807507896,0.005915165,0.0016355711
-0.49659375824785024,0.003258109,0.0016005719
-0.49657286729811756,-0.0020639896,0.0015643558
-0.4964661759507545,0.0009355545,0.001566713
-0.49638845699363743,0.0022712946,0.0018809323
-0.4963574496016313,-0.0012571812,0.0015621419
-0.49630529561648673,-0.0005264878,0.0016956456
-0.49626875183482777,-0.00082212687,0.0015770827
-0.4962569439394059,-0.00010859966,0.0015650068
-0.49623966715572154,0.0006440878,0.0015943114
-0.4961111522199867,0.0006633997,0.0015643871
-0.49602285706396343,-0.0041513443,0.0017257294
-0.4959757749385397,-0.00092095137,0.001622331
-0.4959465528891196,-0.00238055,0.0015687916
-0.4959450092348845,0.00013768673,0.0015675217
-0.49575949706803313,0.0011190176,0.0015636202
-0.49568997965879813,0.0011357069,0.001792234
-0.4956575506925861,-0.0028224587,0.0016296199
-0.49564824763819804,0.0029972792,0.0016010671
-0.4956273649314117,0.0014597178,0.0015657047
-0.49552063681027925,-0.00042194128,0.0015652255
-0.49544291024547926,-0.0014883876,0.0018801233
-0.495411921239584,0.0005143881,0.0015613743
-0.4953597812028383,-0.0011339188,0.001695762
-0.49532324376174053,7.7843666e-5,0.0015768184
-0.4953114447431354,0.0015567541,0.0015654806
-0.49529412230932934,0.00032365322,0.001592977
-0.49516561624932776,0.0017664433,0.0015648453
-0.49507730904713587,-0.0024193525,0.0017250581
-0.4950302617930964,0.00021135807,0.0016222128
-0.4950010473522879,0.0007286072,0.0015699784
-0.4949995144764806,0.0023801327,0.0015660664
-0.49493319325792917,-0.0013535023,0.0015753412
-0.4948139642684287,-0.00078547,0.0015650921
-0.4947444658799488,0.0013064146,0.0017920654
-0.4947120039438089,0.0013301373,0.0016326647
-0.4947027363948302,-0.0014067292,0.0016001597
-0.49468186256501545,-4.684925e-5,0.0015648869
-0.4945750976704232,-0.0013433099,0.0015669252
-0.4944973634973212,0.0007055998,0.001881154
-0.4944663928778462,-0.0015856624,0.001562817
-0.4944142667901186,-0.0017034411,0.0016948998
-0.4943777356891178,0.00043535233,0.0015775659
-0.49436594554593616,-0.0009723902,0.001566949
-0.4943485774627825,-0.0006341934,0.0015932831
-0.49422007964464365,0.0015459061,0.0015656517
-0.49413176103061796,-0.0015223026,0.0017256815
-0.49408474864827223,0.0023608208,0.0016227148
-0.4940555418153014,-0.0009518266,0.0015698712
-0.4940540197177672,0.0013064146,0.0015660541
-0.49398765094763775,-0.0010202527,0.0015755342
-0.4938684314688244,0.0019373894,0.0015635865
-0.4937989521001708,0.0008111,0.0017921482
-0.4937664571956508,0.0025247335,0.0016332912
-0.4937572257861067,-0.0017157793,0.0015986062
-0.49373636019830947,-0.0012683272,0.0015641231
-0.4936295585302576,-0.00040614605,0.0015660888
-0.4935518167488536,-0.0009356737,0.0018807327
-0.49352086514982396,0.0020228624,0.0015626253
-0.4934687523772441,-0.000641942,0.0016971463
-0.49343222761649497,-0.0009585023,0.0015768461
-0.4934204463490466,0.0013285875,0.0015649456
-0.4934030332502607,0.0020838976,0.0015939745
-0.4932745436750682,0.00016343594,0.0015621637
-0.4931862130137903,0.0004310608,0.0017259478
-0.4931392361371637,0.0018591881,0.0016220362
-0.49311003627831484,0.00033295155,0.0015703097
-0.49310852559338847,0.0011386871,0.001565245
-0.4930421086370367,0.0005760193,0.0015756738
-0.4929228986682913,0.00012075901,0.0015632608
-0.49285343832039274,-0.0016459823,0.001791368
-0.49282091044749277,0.0016289949,0.001633379
-0.4928117151770737,0.0019314289,0.0016005946
-0.49279085719788807,-0.00067293644,0.0015652776
-0.49268401875544765,0.002984047,0.0015695577
-0.4926062693657416,0.0007895231,0.0018833989
-0.4925753367880862,-0.00044113398,0.001562587
-0.4925232379637504,0.0005927086,0.0016960092
-0.49248671954294343,-0.00053584576,0.0015765794
-0.4924749471527762,-7.8082085e-6,0.0015655664
-0.4924574884038685,-5.9604645e-5,0.0015924053
-0.49232900707146765,-0.000154078,0.0015636557
-0.49224066499727237,-0.0018752217,0.0017241285
-0.49219372299141073,-0.0027561188,0.0016219296
-0.49216453137581795,0.00093472004,0.0015702244
-0.4921630308352942,-0.00018364191,0.001565318
-0.49209656696107995,-0.0047917366,0.0015720676
-0.49197736523373303,-0.00020354986,0.0015641983
-0.4919079245415434,-0.0007200241,0.0017910002
-0.491875363698406,0.0026620626,0.0016340021
-0.4918662045683502,0.00068211555,0.0015994133
-0.49184535483087255,0.001371026,0.0015656151
-0.4917384796149724,0.0014512539,0.0015675249
-0.49166072261665483,-0.00081050396,0.0018799995
-0.4915777235508759,0.00024449825,0.0016961969
-0.49154121147001095,0.00044465065,0.0015771355
-0.49152944795619613,-0.00021642447,0.001565475
-0.49151194355716676,0.0009928942,0.0015934263
-0.49138347110111824,0.0002619028,0.001562529
-0.491295116981064,-0.0029329658,0.0017243407
-0.4912482098459674,-0.002012074,0.0016223888
-0.4912190258392958,0.0023596287,0.0015702618
-0.4912175360765808,0.0006197691,0.0015652715
-0.4911510246507885,0.0005403757,0.0015762312
-0.4910318324341286,0.00029706955,0.0015665916
-0.4909624107626941,0.00039160252,0.0017918015
-0.4909298169494739,-0.0015416145,0.001631551
-0.4909206939596267,-0.0009082556,0.0015990067
-0.4908998524635475,0.00033068657,0.0015662883
-0.4907929404752711,0.00017035007,0.0015663013
-0.49071517586849667,0.0005785227,0.0018811391
-0.4906322091376919,-0.0004557371,0.0016960279
-0.49058394875930644,-0.00023293495,0.00156533
-0.4905663987110842,0.0021139383,0.0015935402
-0.49043793449643414,0.0013841391,0.001563464
-0.4903495689648556,-0.0002617836,0.0017251128
-0.4903026973351685,-0.0010364056,0.001622291
-0.49027352030246407,0.0027906895,0.0015710836
-0.4902720419517377,-0.0017840862,0.0015655432
-0.4902054823398778,0.00075912476,0.0015753397
-0.4900862996346791,-0.00018280745,0.0015639518
-0.4900168969832256,-0.0017369986,0.0017908432
-0.4899842702014706,0.0024018288,0.0016334843
-0.4899751833499745,-0.00082057714,0.0015982314
-0.48995435009684163,0.001283288,0.0015652565
-0.4898474013355699,0.0030995607,0.0015674183
-0.4897696291203386,-0.003046751,0.0018800406
-0.48973875170287284,0.00027930737,0.0015641211
-0.4896866947238886,0.0015091896,0.0016953021
-0.48965019469012105,0.0030106306,0.0015776273
-0.48963844956303604,0.00056147575,0.0015658137
-0.4896208544990268,-0.00017261505,0.0015922613
-0.48949239852639437,-0.0014249086,0.0015614124
-0.4894040209477184,0.0002808571,0.001725386
-0.48935718419034435,-0.00067055225,0.0016224271
-0.4893280147650132,-0.0009531975,0.0015700285
-0.4893265471937982,1.4781952e-5,0.0015659016
-0.48925994066361156,-0.0007067323,0.0015748934
-0.4891407668346103,0.00024843216,0.0015627962
-0.4890713832040666,0.0029155016,0.0017939232
-0.48903872345331256,-0.0012304187,0.001630859
-0.4890296727403223,-9.000301e-6,0.0015983372
-0.4890088477304454,0.00077342987,0.0015656003
-0.4889018615610695,-0.0005120635,0.0015663999
-0.4888240823715614,-0.00030982494,0.0018818306
-0.48874118031039493,-0.0036924481,0.0016934818
-0.4887046866171887,-0.0009570718,0.0015761026
-0.488692950366456,0.0016701221,0.0015656612
-0.48867530965201555,-0.0036070943,0.0015916519
-0.48854686192263896,4.4584274e-5,0.0015627453
-0.48845847229655603,0.0015758276,0.00172511
-0.48841167167861654,0.00035762787,0.0016214638
-0.48838250922787185,0.0010381937,0.0015702661
-0.4883810530697291,-0.0020254254,0.0015643793
-0.48831439835362966,0.0011291504,0.00157661
-0.488195234035006,-0.0015152097,0.0015630835
-0.4881258694245981,0.00013101101,0.001792067
-0.48809317670453534,0.0015434027,0.0016314306
-0.4880841614975736,-0.00073313713,0.0015979334
-0.48806334536404905,0.0008940697,0.0015663239
-0.4879563224209038,-0.00033450127,0.0015657998
-0.48787853498844946,-0.00084739923,0.0018806622
-0.4878476956131129,-0.00044947863,0.0015622041
-0.48779566589752044,0.00012230873,0.0016941974
-0.48775917854456585,0.0009268522,0.0015765518
-0.4877474511692568,0.000674963,0.0015655846
-0.4877297648050042,-0.00040501356,0.0015928482
-0.48760132595228955,-0.0011257529,0.0015617941
-0.48751292428034765,4.2796135e-5,0.0017232564
-0.48746615853348285,0.00080394745,0.0016229822
-0.48743700432537485,-0.00083714724,0.0015697806
-0.4874355583110157,0.0028830767,0.0015673175
-0.48736885604364777,0.0027064085,0.0015769308
-0.4872497012350919,-0.00074857473,0.0015627228
-0.48718035564543927,-0.0021306872,0.0017917441
-0.4871476299554486,0.0015500784,0.0016339186
-0.4871386508888501,-0.0009847283,0.0015987791
-0.48711784299703365,0.0005965233,0.001564989
-0.4870107832804287,0.0027815104,0.0015668365
-0.48693298823998177,0.001894474,0.001881451
-0.48690216725168467,-0.000284791,0.0015633588
-0.48685015148464594,0.00022912025,0.0016944681
-0.48681367047132384,0.00073611736,0.0015770863
-0.48680195197298626,0.003275156,0.0015670148
-0.4867842205929468,0.0017066002,0.0015940588
-0.48665578934853415,-0.00064724684,0.0015625414
-0.48656737626413926,-8.7320805e-5,0.0017235107
-0.4865206453886587,-0.0023601651,0.0016230788
-0.48649149878854314,-0.0009835958,0.001569166
-0.48649006355292135,0.00037288666,0.0015662007
-0.48642331436676234,0.0014867783,0.0015762472
-0.4863041684345588,-0.0033442378,0.0015613919
-0.48623484186612553,-0.00036245584,0.0017925147
-0.4861931402798171,0.0012742281,0.0015999225
-0.4861723399963026,-0.0005453825,0.0015637064
-0.486065244140263,7.402897e-5,0.0015658461
-0.4859874414918237,0.0035467148,0.0018819448
-0.485956638889947,-0.0005453229,0.0015631426
-0.48590463707084275,0.0010113716,0.0016943314
-0.4858681623977723,0.0002502203,0.0015769969
-0.48585645277671585,-0.00059109926,0.0015649995
-0.48583867574686423,0.0023840666,0.0015943699
-0.485710253378804,0.00067961216,0.0015621998
-0.48562182824762123,-0.0034527183,0.0017237397
-0.4855751328773953,-0.0011975169,0.0016233271
-0.4855459932520211,-0.0011106133,0.0015688125
-0.4855445694285426,-4.0352345e-5,0.0015652138
-0.48547777205616127,0.00081062317,0.0015741353
-0.4853586350003102,-0.0018548369,0.001561364
-0.4852893280874311,-5.5253506e-5,0.0017908221
-0.48525653645882283,-0.00051510334,0.0016302998
-0.4852476296704744,0.002514124,0.0015980066
-0.4852268376292871,-0.00017827749,0.0015645555
-0.48511970436576257,0.0025384426,0.0015676371
-0.485041894743356,0.0019435883,0.0018792009
-0.48501111052851875,0.0012843609,0.0015620128
-0.4849591226576587,0.0012030602,0.0016951318
-0.48492265432530424,3.2782555e-5,0.0015768636
-0.4849109535801358,-0.0010601282,0.0015643691
-0.48489313090047215,0.00027644634,0.0015930168
-0.4847647167741198,-0.001726985,0.0015604087
-0.48467628023048415,-0.00065618753,0.001722558
-0.48462961973210683,0.00096845627,0.0016237205
-0.48460048771487974,0.00024950504,0.0015709295
-0.4845990746695197,5.042553e-5,0.0015659031
-0.4845322297461794,0.0011675358,0.0015749313
