t_phase,flux,flux_err
-0.4999603546855136,0.0016851425,0.0016026137
-0.4998936533679782,-5.8412552e-5,0.001847041
-0.4998715125494736,2.5510788e-5,0.0018535098
-0.4998063777904529,0.0026715994,0.0016431066
-0.49977911473534575,-0.0025202036,0.0016122143
-0.49965482490630186,0.00016283989,0.0018453761
-0.49962981457505684,-0.002385974,0.0017018173
-0.49957128607483325,-0.0031214952,0.001601326
-0.4995045822623372,-0.0001745224,0.0018466687
-0.4994824402043778,0.00074470043,0.0018487799
-0.49941730764687176,-0.0005531311,0.0016394611
-0.49939004415162735,-0.002200365,0.0016117251
-0.49933598195162077,0.0011501312,0.0018343676
-0.49926575412671914,0.00047123432,0.0018443294
-0.4992407427516927,-0.00040447712,0.0017056147
-0.4991822174640256,-0.001612246,0.0016026985
-0.49911551115644137,0.0011687279,0.0018493097
-0.499093367891958,-0.0018138885,0.0018553718
-0.49902823751972414,0.0013962984,0.0016402808
-0.4990009735677815,0.0013279915,0.0016139678
-0.49894690950862475,0.00095641613,0.0018349211
-0.4988766833473912,0.0034695864,0.0018451934
-0.4988516708960984,-0.0001167655,0.0017067658
-0.49879314885309045,0.0010160208,0.0016014092
-0.4987264400506729,0.00027036667,0.0018494435
-0.498704295579793,-0.0008138418,0.0018531126
-0.49863916737627045,-0.0019404292,0.0016394681
-0.4986119029838083,-0.00028210878,0.0016128229
-0.4985578370332713,0.0008188486,0.0018409556
-0.49848761258405094,0.00085675716,0.0018479517
-0.49846259904050416,0.0027426481,0.0017035617
-0.4984040802422828,0.002423048,0.0016074891
-0.49833736894515934,-0.0012461543,0.0018442817
-0.4983152232348883,0.0022820234,0.0018570309
-0.4982500972326893,-0.0006124377,0.0016395416
-0.49822283239996246,0.0016101599,0.0016173709
-0.4981687645906575,-0.0010135174,0.0018342949
-0.49809854180453195,-0.0006071329,0.0018445736
-0.4980735271847825,0.0014003515,0.0017023846
-0.49801501163134776,0.0016130209,0.0016034706
-0.49794829783951833,-0.0012748837,0.0018465734
-0.4979261509227233,0.0010885,0.0018506048
-0.4978610270888534,0.00013256073,0.0016396645
