BTJD	fluxes	errors	fluxes_detrended	errors_detrended	flags	quarter
1526.188124786233	36270.14	27.015133	1.0009004320753219	0.0007448312	0	8
1526.1895136801263	36237.184	27.009125	1.0000149409342938	0.0007453428	0	8
1526.1909025744853	36183.414	27.00268	0.9985560021853658	0.00074627233	0	8
1526.1922914683792	36234.25	27.03908	0.9999848122404267	0.0007462299	0	8
1526.1936803627393	36237.395	27.020018	1.0000984172120395	0.0007456391	0	8
1526.195069257099	36211.44	26.980532	0.9994098716470237	0.0007450831	0	8
1526.196458150992	36278.87	27.031996	1.0012995627563883	0.0007451168	0	8
1526.1978470453516	36266.21	27.015633	1.0009797030218341	0.0007449257	0	8
1526.1992359397118	36222.297	27.004803	0.9997980376321592	0.00074552983	0	8
1526.2006248336056	36192.89	26.994688	0.9990176123163103	0.0007458561	0	8
1526.2020137279646	36281.207	27.020391	1.001487536760385	0.000744749	0	8
1526.2034026218585	36224.812	27.002998	0.9999637965448334	0.00074542826	0	8
1526.204791516218	36199.152	27.000784	0.9992892023521247	0.0007458955	0	8
1526.2061804101118	36216.62	26.98956	0.9998059903230105	0.00074522576	0	8
1526.2075693044715	36208.72	26.999773	0.9996231734513329	0.00074567046	0	8
1526.2089581983655	36211.4	27.000479	0.999733264687756	0.0007456348	0	8
1526.210347092725	36208.87	27.007088	0.9997003563534315	0.00074586936	0	8
1526.211735986618	36220.656	26.993484	1.0000633574065088	0.00074525113	0	8
1526.2131248809783	36247.586	27.006916	1.0008452714759444	0.000745068	0	8
1526.214513774873	36262.773	27.021656	1.0013037249953576	0.0007451624	0	8
1526.2159026692316	36196.688	27.01165	0.9995186616355279	0.0007462465	0	8
1526.217291563125	36192.688	26.998274	0.9994486144664227	0.00074595935	0	8
1526.2186804574853	36171.53	26.990334	0.9989054401559458	0.0007461761	0	8
1526.2200693513796	36229.51	27.02254	1.0005483812042502	0.00074587093	0	8
1526.2214582457386	36240.93	27.01694	1.0009061236005157	0.0007454814	0	8
1526.222847139632	36184.273	27.007574	0.9993843503479206	0.00074638985	0	8
1526.2242360339915	36210.62	26.99696	1.0001556548406616	0.00074555364	0	8
1526.2256249278857	36230.215	27.018673	1.0007410570095965	0.00074574974	0	8
1526.2270138217798	36197.586	26.97966	0.9998845360747154	0.0007453442	0	8
1526.2284027161386	36131.887	27.00505	0.9981149498557823	0.0007474022	0	8
1526.2297916100324	36174.66	26.99373	0.9993423481990902	0.0007462055	0	8
1526.2311805039265	36205.684	26.99724	1.000245767127481	0.000745663	0	8
1526.2325693982862	36188.84	26.998852	0.9998272997658672	0.00074605463	0	8
1526.23395829218	36190.164	27.002857	0.9999112534881774	0.00074613804	0	8
1526.2353471860738	36190.105	27.0302	0.9999574828524349	0.00074689474	0	8
1526.2367360804333	36193.633	27.012413	1.0001032637179728	0.00074633054	0	8
