BTJD	fluxes	errors	fluxes_detrended	errors_detrended	flags	quarter
1437.9907615074949	75498.54	34.24098	75498.54	34.24098	2097152.0	5
1437.9921504013987	75628.57	34.25095	75628.57	34.25095	2097152.0	5
1437.9935392953607	75811.8	34.272495	75811.8	34.272495	2097152.0	5
1437.9949281892639	75968.83	34.29959	75968.83	34.29959	2097152.0	5
1437.9963170832266	76052.516	34.295837	76052.516	34.295837	2097152.0	5
1437.9977059771895	76218.2	34.320538	76218.2	34.320538	2097152.0	5
1437.9990948711509	76386.37	34.358936	76386.37	34.358936	2097152.0	5
1438.0004837651131	76635.44	34.37833	76635.44	34.37833	2097152.0	5
1438.0018726591338	76892.9	34.414513	76892.9	34.414513	2097152.0	5
1438.0032615530968	76985.46	34.42147	76985.46	34.42147	2097152.0	5
1438.004650447117	77089.13	34.450203	77089.13	34.450203	2097152.0	5
1438.0060393411368	77318.414	34.46599	77318.414	34.46599	2097152.0	5
1438.007428235157	77453.195	34.475906	77453.195	34.475906	2097152.0	5
1438.0088171292361	77782.72	34.525463	77782.72	34.525463	2097152.0	5
1438.0102060232566	77820.59	34.5325	77820.59	34.5325	2097152.0	5
1438.011594917335	78092.84	34.574005	78092.84	34.574005	2097152.0	5
1438.0129838114135	78310.836	34.592545	78310.836	34.592545	2097152.0	5
1438.0143727054929	78418.23	34.605988	78418.23	34.605988	2097152.0	5
1438.0157615995718	78625.72	34.637768	78625.72	34.637768	2097152.0	5
1438.017150493708	78795.74	34.659557	78795.74	34.659557	2097152.0	5
1438.0185393877864	79015.73	34.68922	79015.73	34.68922	2097152.0	5
1438.019928281923	79083.13	34.700565	79083.13	34.700565	2097152.0	5
1438.0213171760597	79317.37	34.732998	79317.37	34.732998	2097152.0	5
1438.0227060701973	79458.81	34.754677	79458.81	34.754677	2097152.0	5
1438.0240949643921	79749.2	34.787067	79749.2	34.787067	2097152.0	5
1438.0254838585288	79813.56	34.798843	79813.56	34.798843	2097152.0	5
1438.0268727527246	80055.03	34.83113	80055.03	34.83113	2097152.0	5
1438.0282616469194	80162.64	34.852074	80162.64	34.852074	2097152.0	5
1438.0296505411143	80429.49	34.885715	80429.49	34.885715	2097152.0	5
1438.0310394353091	80574.555	34.90277	80574.555	34.90277	2097152.0	5
1438.0324283295618	80768.14	34.93285	80768.14	34.93285	2097152.0	5
1438.0338172237575	80888.84	34.93806	80888.84	34.93806	2097152.0	5
1438.035206118011	81097.61	34.967068	81097.61	34.967068	2097152.0	5
1438.0365950122643	81308.75	35.006004	81308.75	35.006004	2097152.0	5
1438.0379839065176	81430.13	35.013622	81430.13	35.013622	2097152.0	5
1438.039372800828	81662.53	35.0556	81662.53	35.0556	2097152.0	5
1438.040761695082	81896.37	35.076378	81896.37	35.076378	2097152.0	5
1438.0421505893942	81970.64	35.085323	81970.64	35.085323	2097152.0	5
1438.0435394837045	82229.62	35.11897	82229.62	35.11897	2097152.0	5
1438.0449283780158	82325.1	35.13511	82325.1	35.13511	2097152.0	5
1438.046317272328	82516.4	35.155914	82516.4	35.155914	2097152.0	5
1438.0477061666984	82712.49	35.18943	82712.49	35.18943	2097152.0	5
1438.0490950610097	82852.1	35.20155	82852.1	35.20155	2097152.0	5
1438.0504839553785	83077.75	35.235924	83077.75	35.235924	2097152.0	5
1438.0518728497482	83160.195	35.25016	83160.195	35.25016	2097152.0	5
1438.0532617441181	83403.48	35.280773	83403.48	35.280773	2097152.0	5
1438.0546506384876	83747.81	35.321255	83747.81	35.321255	2097152.0	5
1438.0560395329155	83765.984	35.336674	83765.984	35.336674	2097152.0	5
1438.0574284272852	83948.96	35.354855	83948.96	35.354855	2097152.0	5
1438.0588173217134	84094.2	35.370193	84094.2	35.370193	2097152.0	5
1438.060206216142	84291.56	35.394268	84291.56	35.394268	2097152.0	5
1438.0615951105692	84426.99	35.414913	84426.99	35.414913	2097152.0	5
1438.0629840050551	84584.26	35.42966	84584.26	35.42966	2097152.0	5
1438.0643728994828	84735.33	35.448402	84735.33	35.448402	2097152.0	5
1438.0657617939687	85089.695	35.495613	85089.695	35.495613	2097152.0	5
1438.0671506884555	85155.86	35.508884	85155.86	35.508884	2097152.0	5
1438.0685395829414	85286.03	35.520195	85286.03	35.520195	2097152.0	5
1438.0699284774273	85503.875	35.55013	85503.875	35.55013	2097152.0	5
1438.0713173719714	85629.26	35.565826	85629.26	35.565826	2097152.0	5
1438.0727062664573	85797.67	35.59235	85797.67	35.59235	2097152.0	5
1438.0740951610023	85913.39	35.59506	85913.39	35.59506	2097152.0	5
1438.0754840555464	86078.51	35.6257	86078.51	35.6257	2097152.0	5
1438.07687295009	86299.84	35.657097	86299.84	35.657097	2097152.0	5
1438.0782618446349	86394.23	35.66202	86394.23	35.66202	2097152.0	5
1438.0796507391797	86606.0	35.702976	86606.0	35.702976	2097152.0	5
1438.081039633782	86760.68	35.70837	86760.68	35.70837	2097152.0	5
1438.0824285283843	86873.85	35.73027	86873.85	35.73027	2097152.0	5
