,tid,sector,zeta,deltchi2,kurtosis,duration,tau0,depth,period,numdips,flat,teff,logg,class,ra,dec
161,201747686,13,42050.1,16068.4,30.2474,0.037680384,1655.408317,0.022124647999999997,1.345728,2,n,6233.0,,eb,303.4732890006667,-57.995496999467534
163,273792220,1,41963.7,299993.0,36.1945,0.039758,1332.676291,0.064483285,1.9879,2,n,5892.0,4.1386400000000005,eb,30.550400001333344,-62.59203400089902
177,158150633,9,41328.1,3245.98,58.2878,0.04572458,1547.468944,0.11701688199999999,2.07839,2,n,4525.0,,eb,162.13252199866668,-38.90224200012546
179,250196734,5,41153.9,194314.0,141.778,0.09244488,1439.8768460000001,0.5050537589999999,7.70374,2,y,3962.0,4.41599,eb,65.2185,-2.6254
180,102691227,9,41066.7,65501.3,46.0054,0.038712533,1545.16395,0.074433029,1.209766667,1,y,6457.21,4.05091,eb,155.57229300066672,-43.214889999908124
181,146522930,5,40920.3,8561.74,21.0643,0.03480256,1439.230087,0.040696204,1.08758,2,y,5812.0,,eb,76.69189699999998,-19.965839
182,278706358,1,40814.8,34286.6,115.103,0.0690242,1331.3431970000001,0.36414390799999996,3.4512099999999997,2,y,5619.0,4.1145,eb,334.8107210006667,-40.533652000530616
184,55369219,3,40694.0,5220.48,45.4803,0.039587332999999995,1389.783068,0.074981391,1.9793666669999999,1,y,6821.0,3.82901,eb,77.50849599999998,-61.599714
188,348759510,8,40418.5,24378.0,141.18,0.03716219999999999,1520.476008,0.029118121,3.71622,1,y,6672.0,4.280880000000001,eb,134.206994,-17.433456
189,253715855,13,40298.1,18826.8,38.248000000000005,0.036215787,1659.497017,0.043179125,1.131743333,2,n,6138.0,4.20209,eb,282.065061,-37.180224999717545
190,158582801,2,40277.8,498246.0,37.8507,0.045366384,1354.796732,0.432639748,1.080152,1,y,,,eb,21.861119000666633,-49.47060400051138
192,219362976,4,40138.9,4650.0,211.94099999999997,0.04786092,1415.864229,0.206378222,7.97682,1,y,4387.0,4.2901,eb,75.11409799866664,-49.423986000495155
194,237944385,7,40072.3,1978.71,152.141,0.07079552,1495.803443,0.017937601,4.42472,1,y,6304.0,4.03187,pl,101.22731999866664,-48.70782300158343
195,201293780,2,40067.2,30414.6,24.5961,0.035635943999999996,1357.637615,0.017623007,0.937788,2,y,5962.0,4.2984,eb,3.237018999999975,-57.35670099913928
197,436158814,6,39979.4,1851.61,127.16799999999999,0.05771288,1473.04285,0.198496461,7.214110000000001,2,y,3510.0,4.64866,eb,83.94819999999999,9.7639
202,176591772,6,39473.6,1687.62,103.104,0.062073199999999995,1472.745911,0.06987819099999999,7.75915,2,y,5626.0,4.19909,eb,87.57769000000002,-5.770626
206,148612685,9,38840.5,63243.1,92.266,0.0400784,1544.491117,0.125471473,5.0098,2,y,,,eb,165.34437399933336,-11.898993999773563
214,293081694,10,38350.4,19521.5,38.066,0.037622775,1575.369759,0.031344235,1.2540924999999998,2,n,6335.0,4.19899,eb,175.04138799999998,-27.26322200033745
221,92594505,1,37912.2,1385.81,172.53400000000002,0.0686118,1328.051283,0.078543633,11.4353,1,y,6302.0,3.7567,eb,315.46969900066665,-33.4850779995679
222,231293332,4,37852.8,53198.9,65.0785,0.03933446,1412.933002,0.15375196900000002,1.78793,1,y,6140.0,4.22515,eb,44.719164999999975,-49.1766
225,88380001,4,37445.9,2428.93,115.655,0.05321172,1413.272521,0.017522097,4.43431,1,y,6458.0,4.10114,pl,44.790954,-25.233086
235,231809798,5,36333.3,99696.7,19.9369,0.03803976,1438.3093820000001,0.18734687600000002,0.9057085709999999,2,y,3520.0,4.74938,eb,85.53068100066668,-52.11507100015122
236,281494100,7,36323.3,238481.0,65.1398,0.03692224,1495.94105,0.43686944200000005,2.30764,2,y,6427.0,4.17821,eb,112.19555799999995,-56.40910999933953
238,253657883,13,36265.9,9502.92,20.8074,0.034795388999999996,1660.5330490000001,0.08253806799999999,0.790804286,2,n,4316.0,4.51889,eb,281.4782670006666,-39.41956700025189
242,140659980,9,35726.4,1882.37,163.82399999999998,0.07551368,1545.3955349999999,0.053466140999999995,9.439210000000001,2,n,5642.4,3.8485699999999996,eb,72.47331200066662,-72.4626359999678
246,387544749,4,35573.0,35537.5,61.2354,0.03945984,1414.570635,0.095871389,2.8185599999999997,2,n,3711.0,4.59109,eb,44.25189999999998,10.3187
247,143022688,4,35549.5,212000.0,53.0217,0.03445893,1412.757419,0.127774715,1.566315,2,y,4086.0,,eb,54.26755200000002,-30.073963
248,117739806,7,35530.9,852.172,114.185,0.10111356,1494.099215,0.20181638,5.61742,2,y,5981.0,4.39006,eb,96.20387999933331,-31.86450499923185
258,278861826,7,34799.6,27934.2,15.8779,0.034162855,1498.196465,0.037808478,0.533794615,1,y,6369.0,4.03753,eb,100.65857099866662,-56.54184199940344
261,52641430,7,34712.1,9454.1,29.0562,0.036774392999999996,1492.526903,0.016214311000000002,1.6715633330000002,2,n,,,eb,101.11049700133333,-33.98000799967303
268,39818458,6,34465.8,18538.0,125.676,0.045785400000000004,1475.37665,0.053337275999999996,3.81545,1,y,12561.0,,eb,90.190562,-3.895667
269,211116547,13,34465.5,14399.6,29.2423,0.03830669999999999,1660.807002,0.363787204,1.2768899999999999,2,y,,4.74904,eb,280.4345999986667,-31.672899999192907
278,333642126,5,34107.2,1452.44,96.4376,0.125502,1442.0602390000001,0.113449812,4.827,1,y,5051.0,4.30031,eb,56.36399699999998,-4.123489
280,48658291,6,34016.0,20061.6,61.6086,0.03810816,1469.162658,0.08860153,1.58784,1,y,6322.0,3.7469900000000003,eb,96.92676899999998,-25.83911
285,198076334,5,33958.9,274160.0,15.3131,0.034436453,1439.150736,0.024643183,0.391323333,1,y,5854.39,3.61858,eb,63.6505289993334,-59.08970199939124
287,3921749,3,33922.6,56619.8,134.766,0.08977392,1388.681952,0.339184493,5.610869999999999,1,y,4007.0,4.3810400000000005,eb,11.833350999999993,-6.442611
289,253749178,13,33802.4,4197.23,50.9892,0.04043028,1659.138682,0.101926178,1.8377400000000002,2,n,5958.0,,eb,282.3434500006666,-36.76225199962134
302,310556491,11,32811.5,63929.1,40.3776,0.043553253,1600.789596,0.05224460400000001,1.5554733330000001,2,n,6902.0,4.15296,eb,185.2880760006667,-65.83577600009315
303,77437462,5,32731.7,5410.63,31.1697,0.02067183,1438.673835,0.018442899,0.607995,1,n,3588.0,4.77111,pl,73.13611300000002,-36.532599
307,294059372,13,32647.0,32763.8,19.5181,0.03600072,1655.100574,0.071110487,0.66668,2,n,6393.0,,eb,263.9327000013334,-71.40670600035338
309,300972613,2,32563.7,134854.0,13.0661,0.034149888999999996,1356.26186,0.06535115799999999,0.38806692299999995,2,y,,,eb,10.771111000666679,-47.30469500112281
317,357911163,12,32268.7,21979.5,85.2305,0.0956432,1628.5092439999999,0.151307285,4.78216,2,y,6682.0,4.42051,eb,192.89315099999953,-79.02588699873931
322,25188036,6,31893.5,1216.84,44.1156,0.04750249,1471.1372470000001,10.09937668,3.393035,2,y,2868.0,5.05342,eb,98.02769999999998,-7.3101
325,268587594,3,31820.1,2407.02,200.178,0.10968504,1389.264124,0.038126081,9.140419999999999,3,n,5887.0,4.19831,misc,15.734703000000025,-23.883967
332,278826996,6,31688.0,1397.68,177.63099999999997,0.1916694,1468.400468,0.35039645399999997,9.58347,2,y,5800.0,4.037380000000001,eb,100.33364400066665,-54.021059999593845
333,52641431,6,31678.1,7138.96,22.5443,0.036775689,1470.79321,0.015964627,0.8358111109999999,2,n,,,eb,101.11111200133331,-33.98002199967302
340,434664688,11,30942.0,1908.45,154.217,0.10115076,1605.326014,0.185487956,8.42923,2,y,,,eb,191.23910900066676,-65.31927500031588
344,142148228,1,30694.9,9435.4,22.7265,0.037468389,1329.223119,0.006429255,0.7805914290000001,1,n,6775.0,4.08734,pl,100.36876299933306,-74.67403700071237
348,150357064,11,30365.9,3555.71,49.8936,0.03872518,1600.002742,0.05841428,1.48943,1,n,5722.0,4.132709999999999,eb,96.10755600000005,-64.49918000031246
349,243475355,11,30363.7,12647.3,30.7305,0.035063872,1602.640415,0.01250422,1.0957459999999999,2,y,13560.0,,eb,205.91707899933328,-42.06752099959662
350,146439804,5,30357.8,627.561,174.847,0.08811519999999999,1439.3534220000001,0.10465621900000001,11.0144,1,y,3801.0,4.326919999999999,eb,75.73329999999999,-22.2282
351,262696097,7,30334.6,7648.67,26.9572,0.040089775,1497.22056,0.031139492999999997,0.91113125,1,n,6782.08,3.79489,eb,107.78593599999999,7.451305
352,424992973,5,30242.8,6410.85,183.615,0.11080752,1442.118798,0.351369053,6.92547,2,y,5171.0,,eb,81.809236,-18.57853099949577
355,38937499,2,30096.5,2658.32,57.0708,0.03244288,1356.8982859999999,0.0039173359999999996,2.02768,2,y,5199.3,4.3212,eb,10.300214999333264,-68.45788699998828
359,79548760,3,29887.0,998.6160000000001,143.188,0.06378264,1392.369135,0.040596157,7.97283,1,y,6452.18,3.66552,eb,51.07178899866665,-45.096830000445415
363,143171265,6,29785.6,12229.5,37.2546,0.0342314,1468.5600630000001,0.017917186,1.1410466670000001,2,n,7333.0,4.316409999999999,eb,89.99970200000001,-34.452683
366,294092960,13,29709.4,15476.5,22.3154,0.045112143,1657.596732,0.050331086,0.9022428570000001,2,n,5766.0,4.57829,eb,107.35662899933334,-57.502436999213174
370,146688260,4,29447.0,30194.8,15.3065,0.0352142,1411.425677,0.013734818000000001,0.5030600000000001,2,n,5551.0,4.28912,eb,43.225258998666675,-43.52245099999363
373,58466459,10,29387.3,687.688,66.0409,0.0387175,1571.632139,0.072758794,3.87175,2,y,6398.0,4.09103,eb,201.66071599999998,-27.140822000314724
378,148544875,9,29273.5,8112.81,63.0622,0.04185928,1547.737188,0.24273312100000002,1.7441366669999998,1,y,3159.0,4.88146,eb,164.12660000000005,-9.836300000792686
379,332488398,2,29244.1,85437.2,27.0505,0.035416402,1360.227161,0.047379434000000005,1.041658889,1,y,5458.0,4.29726,eb,350.5651840006667,-29.706510998802184
