t_phase,flux,fluxerr
-0.5,0.966172993183136,0.0007630790350958705
-0.4999729843493756,0.9633288383483887,0.0007622995181009173
-0.49994091770267074,0.9616110324859619,0.0007612290792167187
-0.4998205027183297,0.9620514512062073,0.0007615240756422281
-0.49974949664704865,0.9668275117874146,0.0007630496402271092
-0.49971277678638404,0.9627296924591064,0.0007622955599799752
-0.4997069589801206,0.9654839038848877,0.0007631406770087779
-0.4995603625526528,0.961854100227356,0.0007619193056598306
-0.4995020321904174,0.9644924998283386,0.0007629027822986245
-0.4994760225918504,0.9644517302513123,0.0007625436410307884
-0.4994684747918339,0.9631577730178833,0.0007621693075634539
-0.49940299019486994,0.9599360823631287,0.0007813093834556639
-0.49930359858386897,0.9647762179374695,0.0007623273995704949
-0.4992574021463849,0.9654932618141174,0.0007643892895430326
-0.4992480671319047,0.9640865325927734,0.0007629226893186569
-0.4992280309008169,0.9638727903366089,0.0007623830460943282
-0.49913444966584425,0.9599500298500061,0.0007609406602568924
-0.4990500120626765,0.9643797278404236,0.0007621822878718376
-0.4990230231664039,0.9628609418869019,0.0007619085954502225
-0.4989909453718582,0.962043821811676,0.0007614820497110486
-0.49887050522586945,0.9617606997489929,0.0007614025380462408
-0.4987995112579587,0.9647089838981628,0.0007627304876223207
-0.4987627939447498,0.9636311531066895,0.0007624896825291216
-0.49875698951589553,0.9628502726554871,0.0007623143028467894
-0.4986103682451345,0.9647296071052551,0.0007623240235261619
-0.49855204998580266,0.9645253419876099,0.0007629944011569023
-0.49852605599421307,0.9640280604362488,0.0007629254832863808
-0.4985184957727833,0.9613872170448303,0.000761734729167074
-0.4984529847396662,0.9604825973510742,0.0007813298725523055
-0.49835360746160356,0.9647344946861267,0.000762438343372196
-0.49830742185282856,0.9674350619316101,0.0007650189218111336
-0.49829810340209924,0.9635116457939148,0.0007624695426784456
-0.4982780553849068,0.9647810459136963,0.0007627576123923063
-0.4981844480324463,0.961010217666626,0.0007608531741425395
-0.4981000238066878,0.9654110074043274,0.0007626440492458642
-0.4980730619840543,0.9637181758880615,0.0007624047575518489
-0.49804097304228956,0.9649658799171448,0.0007622661651112139
-0.4979205077330982,0.9611639976501465,0.0007607933366671205
-0.4978495261873783,0.9660632014274597,0.0007629554602317512
-0.49781281110373776,0.9629231691360474,0.0007621580152772367
-0.49780702005229277,0.9640462398529053,0.0007627480081282556
-0.49766037425612586,0.9647079110145569,0.0007623687270097435
-0.4976020677818101,0.9662037491798401,0.0007635760121047497
-0.4975760893968868,0.9648521542549133,0.0007626235601492226
-0.4975685170719313,0.963499903678894,0.0007624003337696195
-0.4975029789653305,0.9607742428779602,0.000781425042077899
-0.49740361633933816,0.9638835191726685,0.0007623382261954248
-0.4973574418784043,0.9651486277580261,0.0007643566350452602
-0.49734813935253985,0.9643300175666809,0.0007628722814843059
-0.4973280798696188,0.9624834060668945,0.0007620463729836047
-0.4972344467177137,0.9610917568206787,0.0007610332686454058
-0.4971500358693643,0.9646434187889099,0.0007626376464031637
-0.49712310080108263,0.9642391204833984,0.0007623053388670087
-0.497091000711477,0.9619051218032837,0.000761364062782377
-0.49697051024048244,0.9621860384941101,0.0007618697127327323
-0.49689954111617596,0.9656625390052795,0.0007632339838892221
-0.4968628282627257,0.9640669822692871,0.0007627404411323369
-0.49685705058837876,0.9646354913711548,0.0007630042382515967
-0.49671037994845213,0.9635410904884338,0.0007616991642862558
-0.4966520852593077,0.965764045715332,0.0007636431255377829
-0.4966261228001827,0.9636166095733643,0.0007623294368386269
-0.4966185383709238,0.9616068601608276,0.0007618675590492785
-0.496552973191306,0.960620641708374,0.000780792732257396
-0.4964536255349605,0.963405191898346,0.0007625715807080269
-0.4964074619039799,0.9662447571754456,0.0007644021534360945
-0.4963981756214903,0.9633828997612,0.000762486772146076
-0.49637810467346266,0.9633288979530334,0.0007626113947480917
-0.49628444540298106,0.9608176350593567,0.0007605559658259153
-0.4962000479320408,0.9641917943954468,0.0007620651158504188
-0.4961731396182665,0.9648515582084656,0.0007631882326677442
-0.4961410283806643,0.9632704257965088,0.0007619127281941473
-0.49602051274848874,0.9626616835594177,0.0007614574278704822
-0.4959495560455957,0.9657108783721924,0.0007626706501469016
-0.4959128454210915,0.9636176228523254,0.0007619711686857045
